Prefix of Website,Course Code,Course Name,Course Description,Prereq,Antireq,Coreq
ACTSC,ACTSC221,Introductory Financial Mathematics (Non-Specialist Level),"The theory of rates of interest and discount; annuities and sinking funds with practical applications to mortgage and bond questions. Yield rates. [Offered: F,W,S]",Prereq: Level at least 2A; Not open to Actuarial Science students., Antireq: ACTSC 231; (For Mathematics students only - CIVE 292/392),None
ACTSC,ACTSC231,Introductory Financial Mathematics,"The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]",Prereq: MATH 137 or 147 and (STAT 220 with a grade of at least 70% or a corequisite of STAT 230 or 240); Level at least 2A; Not open to students who have received credit for ACTSC 232., Antireq: ACTSC 221,None
ACTSC,ACTSC232,Life Contingencies 1,"The future lifetime random variable: Probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: Characteristics of population and insurance life tables; selection; fractional age assumptions. Life insurance payments and annuity payments: Present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: Expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks. ",Prereq: (At least 60% in ACTSC 231) and (STAT 230 or 240) and (at least 60% in MTHEL 131). Not open to students who received credit for ACTSC 331.,None,None
ACTSC,ACTSC291,Corporate Finance 1,"This is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include time value of money, capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, short term finance, and risk management. Where suitable, topics are treated from a mathematical and quantitative perspective.","Prereq: MATH 136 or 146, 138 or 148; Accounting & Financial Management, Computing & Financial Management, Mathematics/ CPA or Science Biotechnology/Chartered Accountancy students."," Antireq: AFM 273, ACTSC 371, ECON 371", Coreq: STAT 231 or 241.
ACTSC,ACTSC331,Life Contingencies 2,"Policy Values: Annual, 1/mthly and continuous cases. Thiele's equation. Policy alterations. Modified policies. Multiple State Models: Applications in life contingencies; assumptions; Kolmogorov equations; premiums, policy values, multiple decrement models. Joint Life Models: Valuation of insurance benefits on joint lives, dependent and independent cases. ",Prereq: ACTSC 232 with a grade of at least 60%; Actuarial Science students only,None,None
ACTSC,ACTSC371,Introduction to Investments,"Introduction to capital markets. Analysis of equity and fixed income investments. Introduction to derivative securities including futures, forwards, swaps and options. [Offered: F,W,S]",ERROR!!!,ERROR!!!,Coreq: STAT 231 or 241
ACTSC,ACTSC372,Corporate Finance,"Capital budgeting. Real Options. Investment decision using Markowitz and utility theory. Capital Asset Pricing Model. Arbitrage Pricing Theory. Market efficiency. Capital structure and dividend policy. Advanced topics. [Offered: F,W,S]",Prereq: ACTSC 371 and MATH 207 or 237 or 247.," Antireq: AFM 271/273, AFM 272/ACTSC 291, AFM 274/371, AFM 372/ACTSC 391, BUS 393W, ECON 371",None
ACTSC,ACTSC391,Corporate Finance 2,This course is a continuation of AFM 272/ACTSC 291. Topics to be explored are covered under the listing for AFM 272/ACTSC 291.,"Prereq: AFM 272/ACTSC 291; Computing and Financial Management, Mathematics/Chartered Professional Accountancy students."," Antireq: AFM 274, ACTSC 372, ECON 371",None
ACTSC,ACTSC431,Loss Models 1,"Models for loss severity: parametric models, effect of policy modifications, tail behaviour. Models for loss frequency: (a, b, 0), (a, b, 1), mixed Poisson models; compound Poisson models, Aggregate claims models: moments and moment generating function: recursion. Classical ruin theory. [Offered: F,S]","Prereq: STAT 330, 333; Actuarial Science or Mathematical Finance students only",None,None
ACTSC,ACTSC432,Loss Models 2,"Credibility theory: limited fluctuation; Bayesian; Buhlmann; Buhlmann-Straub; empirical Bayes parameter estimation; statistical inference for loss models; maximum likelihood estimation; effect of policy modifications; model selection. [Offered: F,S]","Prereq: STAT 330, 333; Actuarial Science or Mathematical Finance students only.",None, Coreq: ACTSC 431
ACTSC,ACTSC433,Analysis of Survival Data,"The Mathematics of Survival Models, some examples of parametric survival models. Tabular survival models, estimates from complete and incomplete data samples. Parametric survival models, determining the optimal parameters. Maximum likelihood estimators, derivation and properties. Product limit estimators, Kaplan-Meier and Nelson-Aalen. Practical aspects. [Offered: W]","Prereq: ACTSC 331, STAT 330; Actuarial Science or Mathematical Finance students only",None,None
ACTSC,ACTSC445,Quantitative Enterprise Risk Management,"This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks. Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation and regulation of financial institutions. [Offered: F,S]","Prereq: (AFM 372/ACTSC 391or(ACTSC 231, 371)or(ACTSC 231, BUS 393W)),((STAT 330,333) or STAT 334); ACTSC, Math/FARM, Math Fin students only."," Antireq: AFM 422, MATBUS 472, BUS 433W, BUS 439W",None
ACTSC,ACTSC446,Mathematics of Financial Markets,"This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itô's lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]","Prereq: (AFM 372/ACTSC 391 or (ACTSC 231&371) or (ACTSC 231&BUS 393W)), (STAT 333 or 334); ACTSC, Math/FARM, Math Fin, STAT students only."," Antireq: AFM 322/474, BUS 423W, ECON 372, MATBUS 470",None
ACTSC,ACTSC453,Basic Pension Mathematics,"Theory and practice of pension plan funding. Assumptions, basic actuarial functions and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit and projected benefit cost methods.",Prereq: ACTSC 331; Actuarial Science or Mathematical Finance students only,None,None
ACTSC,ACTSC455,Advanced Life Insurance Practice,"Cash flow projection methods for pricing, reserving and profit testing; deterministic, stochastic and stress testing; pricing and risk management of embedded options in insurance products; mortality and maturity guarantees for equity-linked life insurance.",Prereq: ACTSC 331 with a grade of at least 60%; Actuarial Science or Mathematical Finance students only.,None, Coreq: ACTSC 446
